,epoch,_wandb,val_acc,_runtime,test_acc,train_acc,lr,_step,_timestamp,fold,model,layers,dataset,batch_size,hidden_dims,repetitions,dataset_size
151,199.0,{'runtime': 18},0.98,18.956743001937863,0.9891304347826086,1.0,1e-05,199.0,1701881383.074914,3,GIN,2,HotIn,32,32,0,200
152,199.0,{'runtime': 11},1.0,11.706232786178589,1.0,1.0,1e-05,199.0,1701881356.635815,3,GlobalAttentionNet,1,HotIn,32,32,0,200
153,199.0,{'runtime': 10},1.0,11.41309690475464,1.0,1.0,1e-05,199.0,1701881356.7095418,3,GlobalAttentionNet,1,HotIn,32,32,1,200
154,199.0,{'runtime': 11},0.96,11.76096796989441,0.9565217391304348,1.0,1e-05,199.0,1701881356.091807,3,SAGPool,1,HotIn,32,32,1,200
155,199.0,{'runtime': 10},0.96,11.597017049789429,0.9565217391304348,1.0,1e-05,199.0,1701881355.79457,3,SAGPool,1,HotIn,32,32,0,200
156,199.0,{'runtime': 12},0.86,13.43544888496399,0.9891304347826086,0.97,1e-05,199.0,1701881354.610323,3,GCN,1,HotIn,32,32,0,200
157,199.0,{'runtime': 12},0.98,13.239341974258425,0.9891304347826086,1.0,1e-05,199.0,1701881354.898746,3,GCN,1,HotIn,32,32,1,200
158,199.0,{'runtime': 15},0.98,16.308013916015625,0.9891304347826086,1.0,1e-05,199.0,1701881354.182289,3,GIN,1,HotIn,32,32,0,200
159,199.0,{'runtime': 15},0.98,15.716323137283323,1.0,1.0,1e-05,199.0,1701881353.823508,3,GIN,1,HotIn,32,32,1,200
160,199.0,{'runtime': 13},1.0,14.281168699264526,1.0,1.0,1e-05,199.0,1701881330.4564228,3,GlobalAttentionNet,4,HotIn,32,16,0,200
161,199.0,{'runtime': 13},0.86,14.160987138748167,0.967391304347826,0.975,1e-05,199.0,1701881330.5198212,3,GlobalAttentionNet,4,HotIn,32,16,1,200
162,199.0,{'runtime': 15},0.98,16.220375061035156,0.9782608695652174,1.0,1e-05,199.0,1701881330.597733,3,SAGPool,4,HotIn,32,16,1,200
163,199.0,{'runtime': 15},0.98,16.01503300666809,0.9782608695652174,1.0,1e-05,199.0,1701881330.388934,3,SAGPool,4,HotIn,32,16,0,200
164,199.0,{'runtime': 19},0.98,20.479192972183228,0.9782608695652174,1.0,1e-05,199.0,1701881333.747686,3,GIN,4,HotIn,32,16,1,200
165,199.0,{'runtime': 15},0.58,15.886393070220947,0.7065217391304348,0.675,1e-05,199.0,1701881329.6123562,3,GCN,4,HotIn,32,16,0,200
166,199.0,{'runtime': 14},0.6,15.470796823501589,0.6956521739130435,0.715,1e-05,199.0,1701881329.045585,3,GCN,4,HotIn,32,16,1,200
167,199.0,{'runtime': 20},0.98,20.98950695991516,0.9782608695652174,1.0,1e-05,199.0,1701881333.643713,3,GIN,4,HotIn,32,16,0,200
168,199.0,{'runtime': 12},1.0,13.4981529712677,1.0,1.0,1e-05,199.0,1701881301.935342,3,GlobalAttentionNet,3,HotIn,32,16,1,200
169,199.0,{'runtime': 12},1.0,13.333560943603516,1.0,1.0,1e-05,199.0,1701881301.58621,3,GlobalAttentionNet,3,HotIn,32,16,0,200
